# Data printout from CCMC-simulation: version PD4D-1.3
# Data type:  TIE-GCM  ionosphere
# Run name:   Nick_Gross_071624_IT_1
# Missing data:          NaN
# Coordinate System: GEO
# Satellite Track: gracefo1_512972009515
# Output data: field with 1x7181=7181 elements
# Year Month Day Hour Min Sec    Lon    Lat    H            T_n        Vn_Lon        Vn_Lat        WN        rho(O2)        rho(O)        N2        rho(NO)        rho(N4S)        HE        N_e        T_e        T_i        TEC        N(O2+)        N(O+)        PHI        Vi_Lon        Vi_Lat        Vi_IP        DEN        QJOULE        HMF2        NMF2        Z        ZG        SIGMA_PED        SIGMA_HAL        NO_COOL        T_lbc        Vlbc_Lon        Vlbc_Lat        TN_lbc        VN,lbc_Lon        VN,lbc_Lat        NmF2        HmF2        
#  [year]  [month]  [day]  [h]  [m]  [s]  [deg]  [deg]  [km]  [K]  [m/s]  [m/s]  [m/s]  [mmr]  [mmr]  [mmr]  [mmr]  [mmr]  [mmr]  [cm-3]  [K]  [K]  [TECU]  [cm-3]  [cm-3]  [V]  [m/s]  [m/s]  [m/s]  [kg/m3]  [mW/kg]  [km]  [cm-3]  [km]  [km]  [S/m]  [S/m]  [mW/kg]  [K]  [m/s]  [m/s]  [K]  [m/s]  [m/s]  [cm-3]  [km]
2024  05  09  00  20   0.000     -136.74      87.880      474.94      0.0000      0.0000      0.0000      0.0000      0.0000      0.0000      0.0000      0.0000      0.0000      0.0000      0.0000      0.0000      0.0000      0.0000      0.0000      0.0000      0.0000      0.0000      0.0000      0.0000      0.0000      0.0000      0.0000      0.0000      0.0000      0.0000      0.0000      0.0000      0.0000      0.0000      0.0000      0.0000      0.0000      0.0000      0.0000      0.0000      0.0000
2024  05  09  00  21   0.000     -118.28      84.230      474.51      1463.6      244.89      141.29      2.2243   0.0046371     0.78679     0.20857  0.00011503    0.017313      0.0000  2.9740E+05      3528.0      1658.2      18.399      145.10  2.6918E+05     -6848.4      232.24     -14.191     -3.1406  2.2692E-12      11486.      347.67  4.2345E+05      487.65      474.51  2.1708E-07  5.8775E-11      33.718      181.08      6.4682     0.98081      181.08      6.4680     0.98319  4.2504E+05      330.44
2024  05  09  00  22   0.000     -114.42      80.440      474.14      1467.2      165.50      134.63      3.4623   0.0043333     0.79293     0.20274  0.00010517    0.017597      0.0000  3.8224E+05      3303.5      1692.1      22.242      115.96  3.4988E+05     -11468.      155.96     -19.783     -1.5398  2.3406E-12      14995.      359.41  5.2329E+05      487.24      474.14  2.9252E-07  8.2800E-11      32.273      181.04      6.6223     0.36269      181.04      6.6223     0.36517  5.2462E+05      348.14
2024  05  09  00  23   0.000     -112.89      76.630      473.81      1477.9      64.185      154.35      2.9222   0.0044525     0.79246     0.20309  0.00010758    0.017384      0.0000  4.5869E+05      3088.6      1724.9      25.797      106.55  4.2199E+05     -14266.      62.123     -15.495    -0.65663  2.4187E-12      21716.      365.73  6.3704E+05      486.86      473.81  3.6341E-07  1.0670E-10      34.587      180.89      6.6035    -0.22981      180.89      6.6039    -0.22734  6.2973E+05      349.61
2024  05  09  00  24   0.000     -112.14      72.820      473.53      1488.5     -51.208      165.30      3.0073   0.0044863     0.79219     0.20332  0.00010860    0.017237      0.0000  5.3513E+05      2867.2      1730.6      28.904      98.373  4.9354E+05     -13658.     -114.31      71.310      4.1275  2.4949E-12      12795.      374.70  7.4282E+05      486.51      473.53  4.3506E-07  1.3133E-10      36.463      180.81      5.9717    -0.93922      180.81      5.9726    -0.93691  7.2290E+05      357.71
2024  05  09  00  25   0.000     -111.74      69.000      473.30      1497.0     -101.08      133.83      2.6660   0.0044164     0.79326     0.20232  0.00010666    0.017423      0.0000  6.2033E+05      2627.0      1733.5      32.294      89.686  5.7211E+05     -8661.1     -190.89      90.260      5.4311  2.5798E-12      10154.      380.18  8.5343E+05      486.19      473.31  5.1879E-07  1.6120E-10      37.415      180.64      5.0035     -1.7383      180.64      5.0044     -1.7364  8.3386E+05      370.77
2024  05  09  00  26   0.000     -111.54      65.170      473.12      1498.9     -47.042      86.995      2.8880   0.0040687     0.80036     0.19557  9.6963E-05    0.018722      0.0000  7.2679E+05      2372.3      1719.8      37.609      78.077  6.6633E+05     -5285.3     -101.92      40.907      2.5573  2.6486E-12      6198.8      383.36  9.8161E+05      485.91      473.12  6.2245E-07  1.9856E-10      35.241      180.30      3.5777     -2.5116      180.30      3.5789     -2.5102  1.0175E+06      372.53
2024  05  09  00  27   0.000     -111.45      61.350      472.99      1497.7     -14.804      57.466      3.0486   0.0036316     0.80982     0.18654  8.4816E-05    0.019443      0.0000  8.1724E+05      2180.8      1697.8      40.901      64.093  7.4813E+05     -3582.0     -55.402      18.217      1.0610  2.7061E-12      4324.4      390.06  1.0881E+06      485.66      472.98  7.2221E-07  2.3627E-10      31.764      179.84      1.0745     -3.2922      179.84      1.0760     -3.2917  1.1509E+06      374.04
2024  05  09  00  28   0.000     -111.43      57.530      472.89      1497.3     -5.1519      40.380      2.8730   0.0033180     0.81698     0.17971  7.6454E-05    0.019650      0.0000  8.9775E+05      2050.2      1677.1      43.604      55.268  8.2191E+05     -2463.6     -39.765      6.3647    -0.50149  2.7700E-12      3535.7      392.75  1.2128E+06      485.44      472.90  8.3203E-07  2.8321E-10      29.571      179.60     -2.9125     -3.9360      179.59     -2.9110     -3.9370  1.2549E+06      375.46
2024  05  09  00  29   0.000     -111.47      53.700      472.85      1494.2      4.3969      23.901      2.7931   0.0029790     0.82541     0.17161  6.7464E-05    0.020207      0.0000  9.9773E+05      1930.0      1652.0      47.475      47.396  9.1288E+05     -1705.9     -24.709     -5.4134     -2.7263  2.8395E-12      2897.2      393.57  1.3890E+06      485.25      472.85  9.8293E-07  3.5212E-10      26.996      179.51     -7.7359     -4.3084      179.51     -7.7346     -4.3115  1.3955E+06      376.86
